epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,67.4402,0.70542,0.95994,0.9163,0.71131,0.88885,0.91103,0.73921,0.62505,0.83724,0.901,0.00989803,0.00989803,0.00989803
105,141.347,0.69911,0.88142,0.90747,0.70213,0.88024,0.92598,0.74267,0.62441,0.83235,0.90475,0.00989704,0.00989704,0.00989704
106,209.098,0.69548,0.86423,0.90689,0.80773,0.80996,0.92482,0.74303,0.61437,0.82252,0.89892,0.00989605,0.00989605,0.00989605
107,277.291,0.72723,0.84785,0.91169,0.83108,0.77953,0.91526,0.73603,0.65468,0.8158,0.91361,0.00989506,0.00989506,0.00989506
108,346.353,0.71056,0.84579,0.91897,0.82642,0.78178,0.92967,0.75539,0.64079,0.83248,0.91587,0.00989407,0.00989407,0.00989407
109,416.951,0.69943,0.80411,0.89521,0.77422,0.78421,0.91294,0.72457,0.66827,0.84083,0.9106,0.00989308,0.00989308,0.00989308
110,485.36,0.71076,0.84898,0.92101,0.80509,0.78457,0.93782,0.71905,0.66306,0.8827,0.9092,0.00989209,0.00989209,0.00989209
111,548.09,0.68977,0.84258,0.90854,0.73325,0.86694,0.93279,0.75342,0.59717,0.83779,0.893,0.0098911,0.0098911,0.0098911
112,608.037,0.69407,0.83988,0.92907,0.79152,0.84079,0.92931,0.73314,0.63183,0.85689,0.91305,0.00989011,0.00989011,0.00989011
113,680.183,0.69506,0.79905,0.90442,0.82689,0.82625,0.94064,0.75364,0.62939,0.84091,0.9061,0.00988912,0.00988912,0.00988912
114,730.736,0.68195,0.85621,0.91848,0.82784,0.85979,0.94035,0.76845,0.62214,0.82705,0.89581,0.00988813,0.00988813,0.00988813
115,787.257,0.6918,0.82222,0.90602,0.84675,0.82672,0.94643,0.77692,0.62944,0.83788,0.89912,0.00988714,0.00988714,0.00988714
116,842.966,0.69987,0.8303,0.91415,0.76348,0.89184,0.96223,0.77731,0.63639,0.88532,0.89681,0.00988615,0.00988615,0.00988615
117,898.568,0.68759,0.81843,0.90373,0.7373,0.93345,0.95095,0.77744,0.58388,0.79686,0.88555,0.00988516,0.00988516,0.00988516
118,951.299,0.70302,0.82567,0.90126,0.76156,0.89905,0.93984,0.76647,0.62733,0.84587,0.89128,0.00988417,0.00988417,0.00988417
119,1008.54,0.68357,0.77454,0.90348,0.84664,0.82037,0.95965,0.76861,0.62143,0.84265,0.90181,0.00988318,0.00988318,0.00988318
120,1061.28,0.64737,0.78075,0.89715,0.80859,0.85546,0.92522,0.74507,0.61929,0.81315,0.89939,0.00988219,0.00988219,0.00988219
121,1127.04,0.66421,0.75914,0.88729,0.8308,0.87288,0.95577,0.78197,0.59877,0.79496,0.89373,0.0098812,0.0098812,0.0098812
122,1189.9,0.64203,0.73991,0.88104,0.83223,0.87227,0.96141,0.77758,0.61765,0.78825,0.90297,0.00988021,0.00988021,0.00988021
123,1261.15,0.66438,0.77124,0.87779,0.83977,0.86744,0.94941,0.75855,0.59421,0.81228,0.88738,0.00987922,0.00987922,0.00987922
124,1346.06,0.64498,0.77978,0.88869,0.83502,0.84626,0.94343,0.76508,0.60029,0.81591,0.89067,0.00987823,0.00987823,0.00987823
125,1431.34,0.65061,0.82062,0.88587,0.89616,0.83389,0.97213,0.80263,0.60265,0.80428,0.89081,0.00987724,0.00987724,0.00987724
126,1519.23,0.6464,0.78918,0.90408,0.73536,0.91205,0.95995,0.7943,0.61062,0.80198,0.89129,0.00987625,0.00987625,0.00987625
