epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,5439.88,0.72544,0.96672,0.9183,0.81135,0.61679,0.74933,0.58255,0.64839,1.01541,0.90986,0.00993268,0.00993268,0.00993268
70,5568.32,0.69688,0.96234,0.91717,0.69176,0.6252,0.69973,0.53524,0.61992,0.95324,0.89784,0.00993169,0.00993169,0.00993169
71,5707.72,0.7107,1.01368,0.91313,0.64477,0.62123,0.72262,0.55838,0.60359,1.00335,0.89634,0.0099307,0.0099307,0.0099307
72,5833.06,0.73754,0.91296,0.92878,0.73895,0.68351,0.76697,0.59935,0.62705,0.94742,0.89315,0.00992971,0.00992971,0.00992971
73,5963.37,0.69859,0.98681,0.94223,0.77863,0.59914,0.71487,0.55268,0.67417,1.00089,0.90628,0.00992872,0.00992872,0.00992872
74,6095.53,0.71156,1.00488,0.92022,0.64182,0.72366,0.74665,0.57621,0.63132,0.95943,0.89659,0.00992773,0.00992773,0.00992773
75,6239.5,0.72588,0.92501,0.91014,0.7599,0.6336,0.75443,0.58531,0.63783,0.92637,0.89864,0.00992674,0.00992674,0.00992674
76,6372.83,0.72874,0.94333,0.93171,0.81654,0.68438,0.79087,0.60382,0.64246,0.91645,0.90256,0.00992575,0.00992575,0.00992575
77,6499.94,0.7487,0.90305,0.92882,0.80719,0.70548,0.81794,0.62841,0.63364,0.9018,0.90324,0.00992476,0.00992476,0.00992476
78,6631.32,0.72036,0.88733,0.92363,0.86587,0.6539,0.79663,0.63214,0.62638,0.89345,0.89899,0.00992377,0.00992377,0.00992377
79,6774.02,0.73755,0.89141,0.91997,0.84343,0.71075,0.83622,0.64643,0.65375,0.92314,0.90904,0.00992278,0.00992278,0.00992278
80,6921.51,0.74236,1.01897,0.93612,0.84138,0.7088,0.83992,0.65359,0.62219,0.91769,0.89579,0.00992179,0.00992179,0.00992179
81,7046.99,0.74301,0.92508,0.93472,0.83939,0.70262,0.8278,0.64295,0.64178,0.91303,0.90156,0.0099208,0.0099208,0.0099208
82,7168.61,0.73273,0.89512,0.93518,0.86684,0.69677,0.84795,0.63488,0.70164,0.89519,0.92758,0.00991981,0.00991981,0.00991981
83,7289.47,0.71785,0.92052,0.92979,0.73885,0.76092,0.84,0.64123,0.67161,0.87545,0.91525,0.00991882,0.00991882,0.00991882
84,7434.12,0.72219,0.93454,0.93406,0.87714,0.68934,0.84204,0.6668,0.62378,0.92493,0.89841,0.00991783,0.00991783,0.00991783
85,7560.99,0.70536,0.92251,0.92234,0.80775,0.74576,0.84563,0.67511,0.60674,0.85399,0.88661,0.00991684,0.00991684,0.00991684
86,7724.57,0.71042,0.91873,0.92795,0.80594,0.70129,0.8437,0.66377,0.59576,0.90538,0.88405,0.00991585,0.00991585,0.00991585
87,7867.5,0.67535,0.90133,0.91336,0.84213,0.71259,0.85019,0.66427,0.5978,0.90826,0.88434,0.00991486,0.00991486,0.00991486
88,8003.64,0.69537,0.85801,0.90885,0.69889,0.82504,0.8711,0.68524,0.61758,0.89116,0.90325,0.00991387,0.00991387,0.00991387
89,8130.88,0.74662,0.90951,0.91819,0.80528,0.69263,0.85156,0.66431,0.59085,0.8631,0.88614,0.00991288,0.00991288,0.00991288
90,8265.87,0.71641,0.94623,0.91765,0.70661,0.76377,0.8363,0.66337,0.58473,0.87257,0.8879,0.00991189,0.00991189,0.00991189
91,8389.68,0.70714,0.91848,0.92536,0.78896,0.76875,0.87924,0.70674,0.59689,0.84246,0.88963,0.0099109,0.0099109,0.0099109
92,8523.58,0.68993,0.86702,0.925,0.84775,0.724,0.87925,0.71676,0.59451,0.83745,0.88492,0.00990991,0.00990991,0.00990991
93,8647.59,0.72739,0.84426,0.90847,0.73718,0.76175,0.85275,0.66585,0.65524,0.87809,0.90519,0.00990892,0.00990892,0.00990892
94,8755.35,0.72323,0.86498,0.92738,0.79835,0.76841,0.87143,0.6887,0.59499,0.82956,0.89388,0.00990793,0.00990793,0.00990793
95,8872.42,0.71467,0.88724,0.90244,0.82956,0.76072,0.88195,0.69315,0.60097,0.82021,0.88648,0.00990694,0.00990694,0.00990694
96,8986.13,0.66922,0.86045,0.9205,0.77621,0.79387,0.88138,0.70678,0.58148,0.78578,0.87984,0.00990595,0.00990595,0.00990595
97,9092.23,0.66567,0.79282,0.90509,0.79785,0.77889,0.89605,0.71323,0.60156,0.80005,0.88025,0.00990496,0.00990496,0.00990496
98,9228.8,0.67223,0.82961,0.90331,0.84423,0.72727,0.9032,0.71324,0.60342,0.81721,0.89049,0.00990397,0.00990397,0.00990397
99,9349.88,0.6716,0.86257,0.91407,0.63811,0.91073,0.90435,0.72278,0.61009,0.84488,0.89305,0.00990298,0.00990298,0.00990298
100,9445.93,0.66485,0.86466,0.91766,0.74877,0.82308,0.8864,0.6979,0.59755,0.80369,0.88409,0.00990199,0.00990199,0.00990199
101,9552.15,0.70619,0.82709,0.90784,0.7587,0.83362,0.89714,0.7108,0.58257,0.79339,0.87906,0.009901,0.009901,0.009901
102,9655.71,0.6784,0.8236,0.91626,0.69596,0.83561,0.86218,0.67594,0.61992,0.83051,0.89076,0.00990001,0.00990001,0.00990001
103,9776.72,0.68431,0.7843,0.89802,0.67566,0.8367,0.8855,0.69825,0.58732,0.82041,0.88213,0.00989902,0.00989902,0.00989902
104,9897.1,0.68055,0.87036,0.91576,0.68496,0.85954,0.86525,0.67993,0.61677,0.84571,0.88607,0.00989803,0.00989803,0.00989803
105,9999.1,0.70919,0.84311,0.92332,0.83026,0.77315,0.88766,0.70348,0.5844,0.8069,0.87617,0.00989704,0.00989704,0.00989704
106,10108.9,0.68172,0.88416,0.91544,0.70695,0.84886,0.90392,0.71322,0.57371,0.84823,0.87224,0.00989605,0.00989605,0.00989605
107,10232,0.68638,0.89868,0.91388,0.8307,0.80049,0.9009,0.708,0.57936,0.78382,0.87496,0.00989506,0.00989506,0.00989506
108,10352.5,0.66538,0.86552,0.91689,0.78919,0.82989,0.92342,0.73493,0.59995,0.76956,0.88611,0.00989407,0.00989407,0.00989407
109,10496.2,0.6985,0.86208,0.91089,0.77406,0.77678,0.88621,0.70925,0.59053,0.81466,0.88564,0.00989308,0.00989308,0.00989308
110,10622.8,0.66068,0.77627,0.91381,0.84974,0.68193,0.81158,0.63322,0.57853,0.83527,0.87665,0.00989209,0.00989209,0.00989209
111,10737.7,0.68376,0.81236,0.90862,0.80489,0.76027,0.87749,0.69644,0.57372,0.7883,0.8751,0.0098911,0.0098911,0.0098911
112,10848.6,0.68698,0.86116,0.92358,0.76835,0.81356,0.9027,0.72471,0.56951,0.76653,0.87898,0.00989011,0.00989011,0.00989011
109,78.4541,0.66371,0.86098,0.90977,0.82477,0.75817,0.9099,0.71539,0.5839,0.79632,0.87897,0.00989308,0.00989308,0.00989308
110,163.614,0.70574,0.79326,0.92085,0.75426,0.80721,0.89295,0.71125,0.6092,0.81855,0.88905,0.00989209,0.00989209,0.00989209
111,238.746,0.68976,0.79636,0.91383,0.82656,0.74303,0.85716,0.68139,0.59027,0.78427,0.88677,0.0098911,0.0098911,0.0098911
112,303.221,0.66388,0.82965,0.89918,0.7846,0.85189,0.92049,0.72345,0.59898,0.77506,0.88551,0.00989011,0.00989011,0.00989011
113,388.522,0.6926,0.82628,0.9015,0.72682,0.90283,0.92256,0.75076,0.55016,0.75315,0.86958,0.00988912,0.00988912,0.00988912
114,451.529,0.66848,0.75741,0.89405,0.80064,0.83763,0.92312,0.74996,0.57221,0.75566,0.87396,0.00988813,0.00988813,0.00988813
115,513.758,0.66622,0.76862,0.89307,0.79749,0.86235,0.90361,0.71942,0.59415,0.75712,0.87859,0.00988714,0.00988714,0.00988714
116,589.57,0.68535,0.78573,0.90559,0.83461,0.84686,0.93313,0.75436,0.56961,0.74364,0.87367,0.00988615,0.00988615,0.00988615
117,667.894,0.62682,0.76057,0.90387,0.80422,0.81847,0.9095,0.73375,0.58663,0.77965,0.87969,0.00988516,0.00988516,0.00988516
118,750.916,0.64994,0.81547,0.90819,0.76278,0.84252,0.89788,0.72275,0.56038,0.76512,0.87273,0.00988417,0.00988417,0.00988417
119,814.889,0.66388,0.86328,0.91486,0.72006,0.89816,0.92188,0.75704,0.55597,0.79951,0.86679,0.00988318,0.00988318,0.00988318
120,895.757,0.63004,0.77527,0.89687,0.71694,0.90849,0.92525,0.75688,0.556,0.78021,0.86641,0.00988219,0.00988219,0.00988219
121,992.682,0.62972,0.78023,0.91152,0.7593,0.83631,0.92365,0.74581,0.52805,0.75857,0.86173,0.0098812,0.0098812,0.0098812
122,1109.22,0.673,0.81422,0.8993,0.8072,0.85177,0.92734,0.74588,0.53818,0.762,0.8624,0.00988021,0.00988021,0.00988021
123,1201.55,0.61469,0.75834,0.8968,0.77364,0.86521,0.9315,0.74895,0.5321,0.7186,0.85646,0.00987922,0.00987922,0.00987922
124,1285.02,0.64148,0.74157,0.88446,0.71339,0.89164,0.92093,0.74586,0.53388,0.73241,0.85952,0.00987823,0.00987823,0.00987823
125,1383.29,0.64967,0.81044,0.90202,0.74607,0.88999,0.92603,0.75524,0.54603,0.73991,0.86101,0.00987724,0.00987724,0.00987724
126,1476.86,0.64786,0.7659,0.90554,0.72245,0.93091,0.92828,0.76765,0.53098,0.72729,0.86109,0.00987625,0.00987625,0.00987625
127,1544.87,0.65706,0.76773,0.90918,0.73754,0.8664,0.89736,0.74128,0.55216,0.73406,0.86335,0.00987526,0.00987526,0.00987526
128,1606.42,0.63356,0.7788,0.88779,0.71874,0.91625,0.91,0.74432,0.55489,0.71069,0.86658,0.00987427,0.00987427,0.00987427
129,1676.97,0.62938,0.7596,0.90179,0.79982,0.8471,0.92541,0.7536,0.54979,0.74877,0.86355,0.00987328,0.00987328,0.00987328
130,1749.45,0.65042,0.7653,0.90284,0.7197,0.91908,0.93416,0.75153,0.55824,0.71638,0.86449,0.00987229,0.00987229,0.00987229
131,1825.63,0.65162,0.76816,0.89009,0.87424,0.82153,0.9412,0.75349,0.5328,0.71383,0.86207,0.0098713,0.0098713,0.0098713
132,1898.56,0.63037,0.75757,0.90118,0.76853,0.88788,0.93185,0.76188,0.52713,0.73329,0.85769,0.00987031,0.00987031,0.00987031
133,1968.69,0.632,0.74038,0.8992,0.78706,0.84008,0.91071,0.73822,0.56167,0.73938,0.8682,0.00986932,0.00986932,0.00986932
134,2042.17,0.61942,0.72812,0.91008,0.84133,0.81193,0.91956,0.73551,0.56741,0.73485,0.87264,0.00986833,0.00986833,0.00986833
135,2115.57,0.62104,0.70713,0.88405,0.78991,0.82042,0.93212,0.75009,0.5337,0.70557,0.86071,0.00986734,0.00986734,0.00986734
136,2170.49,0.64905,0.77877,0.89075,0.84536,0.78302,0.93396,0.75783,0.54243,0.75269,0.86046,0.00986635,0.00986635,0.00986635
137,2230.4,0.64289,0.77662,0.90077,0.82023,0.88116,0.9356,0.74887,0.55213,0.72009,0.86113,0.00986536,0.00986536,0.00986536
138,2295.2,0.62784,0.70922,0.89985,0.8408,0.88998,0.93812,0.7641,0.52299,0.69192,0.85355,0.00986437,0.00986437,0.00986437
139,2351.25,0.63659,0.72712,0.88873,0.80328,0.90238,0.95888,0.76997,0.5703,0.69868,0.87567,0.00986338,0.00986338,0.00986338
140,2417.95,0.64101,0.73937,0.90353,0.76324,0.91115,0.94595,0.76331,0.5591,0.67693,0.86811,0.00986239,0.00986239,0.00986239
141,2482.61,0.65053,0.65794,0.88917,0.69218,0.94033,0.94196,0.7633,0.51466,0.67825,0.85728,0.0098614,0.0098614,0.0098614
142,2561.53,0.6133,0.71225,0.88702,0.84119,0.83586,0.93931,0.76032,0.53166,0.68595,0.85752,0.00986041,0.00986041,0.00986041
143,2683.35,0.60773,0.69843,0.88485,0.75052,0.91074,0.95361,0.7895,0.52036,0.66082,0.85952,0.00985942,0.00985942,0.00985942
144,2771.41,0.63121,0.71455,0.8884,0.79909,0.90885,0.95846,0.79142,0.53581,0.66947,0.85997,0.00985843,0.00985843,0.00985843
145,2845.6,0.60748,0.70948,0.88025,0.79179,0.90961,0.94699,0.78231,0.52573,0.66079,0.857,0.00985744,0.00985744,0.00985744
146,2912.05,0.63589,0.71195,0.89561,0.76862,0.90997,0.94958,0.78308,0.50787,0.63583,0.852,0.00985645,0.00985645,0.00985645
147,2981.56,0.63845,0.65974,0.87516,0.79982,0.8775,0.94671,0.78454,0.51751,0.65499,0.85206,0.00985546,0.00985546,0.00985546
148,3057.98,0.63648,0.66509,0.88839,0.83197,0.86726,0.93185,0.7713,0.5396,0.67447,0.8609,0.00985447,0.00985447,0.00985447
149,3131.03,0.64332,0.70817,0.89855,0.8566,0.83759,0.92752,0.7518,0.5105,0.64692,0.85495,0.00985348,0.00985348,0.00985348
150,3221.38,0.62342,0.68078,0.88774,0.81178,0.86677,0.92353,0.76764,0.52365,0.64074,0.85731,0.00985249,0.00985249,0.00985249
151,3310.82,0.61016,0.66209,0.87455,0.80938,0.88288,0.94499,0.7972,0.48922,0.6384,0.84618,0.0098515,0.0098515,0.0098515
152,3391.61,0.61717,0.70825,0.90515,0.80259,0.892,0.94256,0.79231,0.49786,0.64541,0.84973,0.00985051,0.00985051,0.00985051
153,3468.87,0.62313,0.69747,0.8885,0.88519,0.86645,0.95141,0.80374,0.49979,0.64366,0.84688,0.00984952,0.00984952,0.00984952
154,3545.13,0.60571,0.66444,0.89498,0.88552,0.8388,0.94766,0.80331,0.50767,0.65555,0.85072,0.00984853,0.00984853,0.00984853
155,3619.61,0.59868,0.69637,0.88415,0.88915,0.84172,0.95189,0.80356,0.50693,0.65571,0.84946,0.00984754,0.00984754,0.00984754
156,3686.24,0.62267,0.69535,0.89701,0.83989,0.86922,0.94158,0.79069,0.50702,0.6445,0.84743,0.00984655,0.00984655,0.00984655
157,3740.9,0.60382,0.64787,0.88719,0.8355,0.8614,0.94773,0.80084,0.47262,0.62653,0.84271,0.00984556,0.00984556,0.00984556
158,3807.77,0.60512,0.68174,0.88544,0.83646,0.86108,0.95486,0.79075,0.49592,0.64019,0.84762,0.00984457,0.00984457,0.00984457
159,3886.21,0.58176,0.67018,0.88428,0.89224,0.84089,0.95821,0.79438,0.53201,0.6289,0.85963,0.00984358,0.00984358,0.00984358
160,3957.42,0.61021,0.64469,0.88009,0.88208,0.82547,0.94925,0.76708,0.53887,0.64236,0.85807,0.00984259,0.00984259,0.00984259
161,4054.84,0.60572,0.69082,0.87539,0.84709,0.83452,0.96191,0.80445,0.51768,0.66861,0.85125,0.0098416,0.0098416,0.0098416
162,4138.4,0.60479,0.66827,0.88853,0.90163,0.83085,0.95025,0.81095,0.48254,0.62255,0.84231,0.00984061,0.00984061,0.00984061
163,4201.44,0.58841,0.613,0.86954,0.87824,0.84572,0.9458,0.79184,0.51508,0.62481,0.85121,0.00983962,0.00983962,0.00983962
164,4267.97,0.60542,0.6515,0.89554,0.78699,0.91309,0.94305,0.79806,0.50746,0.63127,0.84824,0.00983863,0.00983863,0.00983863
165,4339.47,0.60431,0.65375,0.87573,0.77472,0.86629,0.94732,0.80362,0.47689,0.61616,0.84442,0.00983764,0.00983764,0.00983764
